block,species,chr,chr_beg,chr_end,orientation
269,CP009749.1,1,3153515,3158928,+
269,CP009611.1,1,3160377,3165790,+
269,CP009748.1,1,3147694,3153107,+
268,CP009749.1,1,3125849,3131416,+
268,CP009611.1,1,3129695,3135261,+
268,CP009748.1,1,3116995,3122574,+
267,CP009749.1,1,3116600,3123434,+
267,CP009611.1,1,3118377,3125211,+
267,CP009748.1,1,3107489,3114304,+
266,CP009749.1,1,3067363,3092946,+
266,CP009611.1,1,3069136,3094721,+
266,CP009748.1,1,3020628,3046196,+
265,CP009749.1,1,3047777,3061658,+
265,CP009611.1,1,3049544,3063431,+
265,CP009748.1,1,3001048,3014919,+
264,CP009749.1,1,3019156,3044678,+
264,CP009611.1,1,3020880,3046402,+
264,CP009748.1,1,2972431,2997929,+
263,CP009749.1,1,2989602,3008173,+
263,CP009611.1,1,2991360,3009932,+
263,CP009748.1,1,2944796,2963366,+
262,CP009749.1,1,2980293,2985528,+
262,CP009611.1,1,2938901,2944084,+
262,CP009748.1,1,2899047,2904276,+
261,CP009749.1,1,2973143,2979532,+
261,CP009611.1,1,2931751,2938146,+
261,CP009748.1,1,2891898,2898286,+
260,CP009749.1,1,2943883,2965920,+
260,CP009611.1,1,2901154,2923185,+
260,CP009748.1,1,2862872,2884671,+
259,CP009749.1,1,2933095,2941318,+
259,CP009611.1,1,2890363,2898570,+
259,CP009748.1,1,2852977,2860307,+
258,CP009749.1,1,2904178,2910935,+
258,CP009611.1,1,2861446,2868204,+
258,CP009748.1,1,2827521,2834298,+
257,CP009749.1,1,2889841,2898585,+
257,CP009611.1,1,2847106,2855852,+
257,CP009748.1,1,2813174,2821923,+
256,CP009749.1,1,2878011,2887860,+
256,CP009611.1,1,2835276,2845125,+
256,CP009748.1,1,2801370,2811193,+
255,CP009749.1,1,2858084,2865361,+
255,CP009611.1,1,2815218,2822628,+
255,CP009748.1,1,2781610,2788715,+
254,CP009749.1,1,2820369,2826901,+
254,CP009611.1,1,2776005,2782537,+
254,CP009748.1,1,2748867,2755401,+
253,CP009749.1,1,2789861,2795755,+
253,CP009611.1,1,2749197,2755091,+
253,CP009748.1,1,2723277,2729168,+
252,CP009749.1,1,2756130,2775892,+
252,CP009611.1,1,2715465,2735229,+
252,CP009748.1,1,2689556,2709301,+
251,CP009749.1,1,2719573,2729005,+
251,CP009611.1,1,2678908,2688341,+
251,CP009748.1,1,2652982,2662421,+
250,CP009749.1,1,2667784,2677010,+
250,CP009611.1,1,2627068,2636293,+
250,CP009748.1,1,2601548,2610729,+
249,CP009749.1,1,2631960,2640536,+
249,CP009611.1,1,2591245,2599822,+
249,CP009748.1,1,2565722,2574286,+
248,CP009749.1,1,2600698,2608545,+
248,CP009611.1,1,2559964,2567828,+
248,CP009748.1,1,2534124,2542318,+
247,CP009749.1,1,2590817,2597482,+
247,CP009611.1,1,2550086,2556748,+
247,CP009748.1,1,2524873,2530908,+
246,CP009749.1,1,2573814,2579285,+
246,CP009611.1,1,2537894,2543406,+
246,CP009748.1,1,2513308,2519599,+
245,CP009749.1,1,2510353,2517932,+
245,CP009611.1,1,2474441,2482018,+
245,CP009748.1,1,2449856,2457411,+
244,CP009749.1,1,2503346,2508589,+
244,CP009611.1,1,2467434,2472677,+
244,CP009748.1,1,2442835,2448078,+
243,CP009749.1,1,2484288,2495498,+
243,CP009611.1,1,2448380,2459585,+
243,CP009748.1,1,2423772,2434983,+
242,CP009749.1,1,2427319,2449944,+
242,CP009611.1,1,2391411,2414036,+
242,CP009748.1,1,2366729,2389423,+
241,CP009749.1,1,2405623,2412107,+
241,CP009611.1,1,2369725,2376201,+
241,CP009748.1,1,2345050,2351539,+
240,CP009749.1,1,2390264,2405621,+
240,CP009611.1,1,2354366,2369723,+
239,CP009749.1,1,2365595,2388247,+
239,CP009611.1,1,2329697,2352349,+
238,CP009749.1,1,2334574,2363578,+
238,CP009611.1,1,2298674,2327680,+
237,CP009749.1,1,2312052,2334573,+
237,CP009611.1,1,2276147,2298673,+
237,CP009748.1,1,2322770,2344804,+
236,CP009749.1,1,2290693,2310433,+
236,CP009611.1,1,2254785,2274528,+
236,CP009748.1,1,2301400,2321152,+
235,CP009749.1,1,2267377,2272773,+
235,CP009611.1,1,2231468,2236864,+
235,CP009748.1,1,2278101,2283499,+
234,CP009749.1,1,2210103,2218031,+
234,CP009611.1,1,2174208,2182106,+
234,CP009748.1,1,2220831,2228777,+
233,CP009749.1,1,2187770,2194297,+
233,CP009611.1,1,2151906,2158429,+
233,CP009748.1,1,2197672,2205005,+
232,CP009749.1,1,2129592,2140643,+
232,CP009611.1,1,2136590,2147641,+
232,CP009748.1,1,2049417,2060487,+
231,CP009749.1,1,2110294,2122975,+
231,CP009611.1,1,2117294,2129979,+
231,CP009748.1,1,2030122,2042805,+
230,CP009749.1,1,2077186,2109649,+
230,CP009611.1,1,2073376,2105804,+
230,CP009748.1,1,1992215,2024951,+
229,CP009749.1,1,2038414,2046802,+
229,CP009611.1,1,2034598,2042988,+
229,CP009748.1,1,1953554,1961934,+
228,CP009749.1,1,2018156,2034099,+
228,CP009611.1,1,2013044,2028981,+
228,CP009748.1,1,1934492,1950428,+
227,CP009749.1,1,2001732,2013394,+
227,CP009611.1,1,1994293,2005963,+
227,CP009748.1,1,1915485,1927146,+
226,CP009749.1,1,1986327,1999001,+
226,CP009611.1,1,1978888,1991562,+
225,CP009749.1,1,1974526,1983614,+
225,CP009611.1,1,1967087,1976175,+
224,CP009749.1,1,1954281,1972821,+
224,CP009611.1,1,1946854,1965382,+
224,CP009748.1,1,1894211,1912745,+
223,CP009749.1,1,1947953,1953378,+
223,CP009611.1,1,1940514,1945940,+
223,CP009748.1,1,1887863,1893287,+
222,CP009749.1,1,1884555,1891748,+
222,CP009611.1,1,1877500,1884709,+
221,CP009749.1,1,1805685,1811959,+
221,CP009611.1,1,1799060,1805337,+
221,CP009748.1,1,1752961,1759210,+
220,CP009749.1,1,1731557,1805683,+
220,CP009611.1,1,1723639,1797774,+
220,CP009748.1,1,1678830,1752959,+
219,CP009749.1,1,1576665,1582144,+
219,CP009611.1,1,1566461,1571940,+
219,CP009748.1,1,1524529,1530000,+
218,CP009749.1,1,1566278,1571689,+
218,CP009611.1,1,1556073,1561484,+
218,CP009748.1,1,1514132,1519535,+
217,CP009749.1,1,1424798,1480399,+
217,CP009611.1,1,1414587,1470179,+
216,CP009749.1,1,1391343,1409220,+
216,CP009611.1,1,1381134,1399012,+
216,CP009748.1,1,1392755,1410832,+
215,CP009749.1,1,1371146,1376554,+
215,CP009611.1,1,1360934,1366358,+
215,CP009748.1,1,1372558,1377967,+
214,CP009749.1,1,1323917,1335208,+
214,CP009611.1,1,1310488,1321779,+
214,CP009748.1,1,1325994,1337287,+
213,CP009749.1,1,1303435,1308696,+
213,CP009611.1,1,1288696,1293960,+
213,CP009748.1,1,1303402,1308668,+
212,CP009749.1,1,1291148,1297926,+
212,CP009611.1,1,1276338,1283226,+
212,CP009748.1,1,1290316,1297070,+
211,CP009749.1,1,1272543,1280705,+
211,CP009611.1,1,1257680,1265895,+
211,CP009748.1,1,1271656,1279870,+
210,CP009749.1,1,1261810,1269424,+
210,CP009611.1,1,1246953,1254567,+
210,CP009748.1,1,1260929,1268562,+
209,CP009749.1,1,1227830,1240823,+
209,CP009611.1,1,1193155,1206153,+
209,CP009748.1,1,1208547,1221529,+
208,CP009749.1,1,1220517,1225697,+
208,CP009611.1,1,1186698,1191880,+
208,CP009748.1,1,1202160,1207343,+
207,CP009749.1,1,1153892,1163188,+
207,CP009611.1,1,1124850,1134146,+
207,CP009748.1,1,1075536,1084835,+
206,CP009749.1,1,1136483,1152501,+
206,CP009611.1,1,1107554,1123459,+
206,CP009748.1,1,1058124,1074145,+
205,CP009749.1,1,1122335,1135036,+
205,CP009611.1,1,1093392,1106107,+
205,CP009748.1,1,1043930,1056694,+
204,CP009749.1,1,1099912,1113173,+
204,CP009611.1,1,1073297,1086556,+
204,CP009748.1,1,1016880,1030149,+
203,CP009749.1,1,1084927,1097038,+
203,CP009611.1,1,1058287,1070422,+
203,CP009748.1,1,1001872,1014006,+
202,CP009749.1,1,1065195,1072335,+
202,CP009611.1,1,1038003,1045142,+
202,CP009748.1,1,982037,989172,+
201,CP009749.1,1,1050322,1063458,+
201,CP009611.1,1,1023116,1036266,+
201,CP009748.1,1,966938,980301,+
200,CP009749.1,1,998483,1025813,+
200,CP009611.1,1,971286,998624,+
200,CP009748.1,1,916128,942440,+
97,CP009796.1,1,2918379,2929091,+
97,CP007800.1,1,3034371,3045085,+
97,AL009126.3,1,3061604,3072318,+
97,CP002468.1,1,1070124,1080838,+
97,CP004019.1,1,2873405,2884118,+
97,CP002906.1,1,2852385,2863098,+
97,CP010052.1,1,3061616,3072330,+
97,CP010053.1,1,3061370,3072084,+
97,CP008698.1,1,3039642,3050356,+
97,CP007409.1,1,2874577,2885289,+
97,CP006881.1,1,2879459,2890173,+
97,CP003329.1,1,3061586,3072300,+
97,CP005997.1,1,2906126,2916840,+
97,CP002905.1,1,2998807,3009511,+
97,AP011541.2,1,2823671,2834383,+
97,CP002183.1,1,2846167,2856878,+
97,AP012496.1,1,2893286,2904000,+
97,CP004405.1,1,2836537,2847250,+
97,CP010314.1,1,3041098,3051812,+
97,CP003783.1,1,2993043,3003757,+
97,CP003695.1,1,1154523,1165236,-
96,CP009796.1,1,2906124,2916290,+
96,CP007800.1,1,3022114,3032282,+
96,AL009126.3,1,3049348,3059515,+
96,CP002468.1,1,1057869,1068035,+
96,CP004019.1,1,2861143,2871316,+
96,CP002906.1,1,2840119,2850296,+
96,CP010052.1,1,3049360,3059527,+
96,CP010053.1,1,3049113,3059281,+
96,CP008698.1,1,3027385,3037553,+
96,CP007409.1,1,2862333,2872488,+
96,CP006881.1,1,2867202,2877370,+
96,CP003329.1,1,3049330,3059497,+
96,CP005997.1,1,2893870,2904037,+
96,CP002905.1,1,2986344,2996723,+
96,AP011541.2,1,2811425,2821582,+
96,CP002183.1,1,2833897,2844084,+
96,AP012496.1,1,2881029,2891197,+
96,CP004405.1,1,2824283,2834448,+
96,CP010314.1,1,3028841,3039009,+
96,CP003783.1,1,2980787,2990954,+
96,CP003695.1,1,1167324,1177492,-
95,CP009796.1,1,2855457,2866715,+
95,CP007800.1,1,2971457,2982716,+
95,AL009126.3,1,2998691,3009950,+
95,CP002468.1,1,1007202,1018461,+
95,CP004019.1,1,2810481,2821742,+
95,CP010052.1,1,2998703,3009962,+
95,CP010053.1,1,2998454,3009713,+
95,CP008698.1,1,2976728,2987987,+
95,CP007409.1,1,2811670,2822929,+
95,CP006881.1,1,2816545,2827804,+
95,CP003329.1,1,2998674,3009933,+
95,CP005997.1,1,2843225,2854472,+
95,AP012496.1,1,2830483,2841742,+
95,CP004405.1,1,2773621,2784882,+
95,CP010314.1,1,2978184,2989443,+
95,CP003783.1,1,2930130,2941389,+
95,CP003695.1,1,1216895,1228156,-
94,CP009796.1,1,2849404,2855388,+
94,CP007800.1,1,2965404,2971388,+
94,AL009126.3,1,2992638,2998622,+
94,CP002468.1,1,1001149,1007133,+
94,CP004019.1,1,2804428,2810412,+
94,CP002906.1,1,2794598,2800582,+
94,CP010052.1,1,2992650,2998634,+
94,CP010053.1,1,2992401,2998385,+
94,CP008698.1,1,2970675,2976659,+
94,CP007409.1,1,2805617,2811601,+
94,CP006881.1,1,2810492,2816476,+
94,CP003329.1,1,2992621,2998605,+
94,CP005997.1,1,2837172,2843156,+
94,CP002905.1,1,2940773,2946753,+
94,AP011541.2,1,2764309,2770293,+
94,CP002183.1,1,2788331,2794307,+
94,AP012496.1,1,2824430,2830414,+
94,CP004405.1,1,2767568,2773552,+
94,CP010314.1,1,2972131,2978115,+
94,CP003783.1,1,2924077,2930061,+
94,CP003695.1,1,1228225,1234209,-
93,CP009796.1,1,2795117,2809011,+
93,CP007800.1,1,2911114,2925001,+
93,AL009126.3,1,2938348,2952235,+
93,CP002468.1,1,946865,960752,+
93,CP004019.1,1,2750140,2764030,+
93,CP002906.1,1,2740358,2754246,+
93,CP010052.1,1,2938360,2952247,+
93,CP010053.1,1,2938111,2951998,+
93,CP008698.1,1,2911114,2925001,+
93,CP007409.1,1,2751336,2765223,+
93,CP006881.1,1,2756202,2770089,+
93,CP003329.1,1,2938330,2952217,+
93,CP005997.1,1,2782880,2796767,+
93,CP002905.1,1,2886200,2900186,+
93,AP011541.2,1,2710057,2723945,+
93,CP002183.1,1,2733841,2747737,+
93,AP012496.1,1,2770139,2784026,+
93,CP004405.1,1,2713279,2727169,+
93,CP010314.1,1,2917841,2931728,+
93,CP003783.1,1,2869787,2883674,+
93,CP003695.1,1,1274602,1288490,-
92,CP009796.1,1,2756518,2762006,+
92,CP007800.1,1,2872657,2878153,+
92,AL009126.3,1,2899891,2905387,+
92,CP002468.1,1,908415,913908,+
92,CP004019.1,1,2711510,2717013,+
92,CP002906.1,1,2701751,2707246,+
92,CP010052.1,1,2899903,2905399,+
92,CP010053.1,1,2899654,2905150,+
92,CP008698.1,1,2872657,2878153,+
92,CP007409.1,1,2712882,2718377,+
92,CP006881.1,1,2717745,2723241,+
92,CP003329.1,1,2899873,2905369,+
92,CP005997.1,1,2744425,2749921,+
92,CP002905.1,1,2845840,2851329,+
92,AP011541.2,1,2671484,2676981,+
92,CP002183.1,1,2692864,2698361,+
92,AP012496.1,1,2731682,2737178,+
92,CP004405.1,1,2674650,2680153,+
92,CP010314.1,1,2879384,2884880,+
92,CP003783.1,1,2831330,2836826,+
92,CP003695.1,1,1321446,1326943,-
91,CP009796.1,1,2696669,2707428,+
91,CP007800.1,1,2814285,2825045,+
91,AL009126.3,1,2841519,2852279,+
91,CP002468.1,1,850056,860817,+
91,CP004019.1,1,2653151,2663903,+
91,CP002906.1,1,2641918,2652677,+
91,CP010052.1,1,2841531,2852291,+
91,CP010053.1,1,2841282,2852042,+
91,CP008698.1,1,2814285,2825045,+
91,CP007409.1,1,2654517,2665276,+
91,CP006881.1,1,2659373,2670133,+
91,CP003329.1,1,2841501,2852261,+
91,CP005997.1,1,2686053,2696813,+
91,CP002905.1,1,2786876,2797627,+
91,AP011541.2,1,2600379,2611139,+
91,CP002183.1,1,2632501,2643255,+
91,AP012496.1,1,2673310,2684070,+
91,CP004405.1,1,2616291,2627043,+
91,CP010314.1,1,2821012,2831772,+
91,CP003783.1,1,2772958,2783718,+
91,CP003695.1,1,1374543,1385303,-
90,CP009796.1,1,2610233,2621192,+
90,CP007800.1,1,2728014,2738960,+
90,AL009126.3,1,2755248,2766194,+
90,CP002468.1,1,747805,758764,+
90,CP004019.1,1,2566672,2577605,+
90,CP002906.1,1,2555494,2566437,+
90,CP010052.1,1,2755260,2766206,+
90,CP010053.1,1,2755011,2765957,+
90,CP008698.1,1,2728014,2738960,+
90,CP007409.1,1,2568101,2579042,+
90,CP006881.1,1,2573102,2584048,+
90,CP003329.1,1,2755231,2766176,+
90,CP005997.1,1,2561395,2572341,+
90,CP002905.1,1,2703006,2714615,+
90,AP011541.2,1,2512364,2523324,+
90,CP002183.1,1,2546596,2558104,+
90,AP012496.1,1,2587039,2597985,+
90,CP004405.1,1,2529812,2540745,+
90,CP010314.1,1,2734741,2745687,+
90,CP003783.1,1,2686687,2697633,+
90,CP003695.1,1,1460780,1471710,-
89,CP009796.1,1,2588499,2594086,+
89,CP007800.1,1,2706389,2711885,+
89,AL009126.3,1,2733623,2739119,+
89,CP002468.1,1,717439,722926,+
89,CP004019.1,1,2548817,2554458,+
89,CP002906.1,1,2531821,2537283,+
89,CP010052.1,1,2733635,2739131,+
89,CP010053.1,1,2733386,2738882,+
89,CP008698.1,1,2706389,2711885,+
89,CP007409.1,1,2537628,2543232,+
89,CP006881.1,1,2551477,2556973,+
89,CP003329.1,1,2733606,2739102,+
89,CP005997.1,1,2539771,2545266,+
89,AP011541.2,1,2494678,2500205,+
89,AP012496.1,1,2565414,2570910,+
89,CP004405.1,1,2511958,2517599,+
89,CP010314.1,1,2713116,2718612,+
89,CP003783.1,1,2665062,2670558,+
89,CP003695.1,1,1487848,1493337,-
88,CP009796.1,1,2559742,2564858,+
88,CP002468.1,1,688742,693900,+
87,CP009796.1,1,2526268,2531818,+
87,CP007800.1,1,2620550,2626099,+
87,AL009126.3,1,2647784,2653333,+
87,CP002468.1,1,625876,631426,+
87,CP004019.1,1,2499616,2505165,+
87,CP002906.1,1,2495411,2500959,+
87,CP010052.1,1,2647796,2653345,+
87,CP010053.1,1,2647547,2653096,+
87,CP008698.1,1,2620550,2626099,+
87,CP007409.1,1,2500633,2506295,+
87,CP006881.1,1,2465638,2471187,+
87,CP003329.1,1,2647767,2653316,+
87,CP005997.1,1,2453935,2459484,+
87,CP002905.1,1,2628800,2634424,+
87,AP011541.2,1,2450612,2456160,+
87,CP002183.1,1,2503758,2509367,+
87,AP012496.1,1,2479576,2485125,+
87,CP004405.1,1,2462759,2468308,+
87,CP010314.1,1,2627277,2632826,+
87,CP003783.1,1,2627256,2632805,+
87,CP003695.1,1,1547849,1553397,-
86,CP009796.1,1,2502864,2508233,+
86,CP007800.1,1,2597147,2602516,+
86,AL009126.3,1,2624381,2629750,+
86,CP002468.1,1,602480,607849,+
86,CP004019.1,1,2476213,2481582,+
86,CP002906.1,1,2472009,2477378,+
86,CP010052.1,1,2624393,2629762,+
86,CP010053.1,1,2624144,2629513,+
86,CP008698.1,1,2597147,2602516,+
86,CP007409.1,1,2477230,2482599,+
86,CP006881.1,1,2442235,2447604,+
86,CP003329.1,1,2624364,2629733,+
86,CP005997.1,1,2430532,2435901,+
86,CP009749.1,1,2550521,2555878,+
86,CP002905.1,1,2605396,2610765,+
86,AP011541.2,1,2427210,2432578,+
86,CP009611.1,1,2514604,2519959,+
86,CP002183.1,1,2480359,2485726,+
86,AP012496.1,1,2456173,2461542,+
86,CP004405.1,1,2439356,2444725,+
86,CP010314.1,1,2603874,2609243,+
86,CP003783.1,1,2603853,2609222,+
86,CP003695.1,1,1571432,1576802,-
86,CP009748.1,1,2490031,2495371,+
85,CP009796.1,1,2454154,2460813,+
85,CP007800.1,1,2547399,2554059,+
85,AL009126.3,1,2574633,2581293,+
85,CP002468.1,1,553768,560428,+
85,CP004019.1,1,2427491,2434152,+
85,CP002906.1,1,2423299,2429959,+
85,CP010052.1,1,2574644,2581304,+
85,CP010053.1,1,2574414,2581074,+
85,CP008698.1,1,2547399,2554059,+
85,CP007409.1,1,2428511,2435171,+
85,CP006881.1,1,2392499,2399159,+
85,CP003329.1,1,2574616,2581276,+
85,CP005997.1,1,2380780,2387444,+
85,CP002905.1,1,2555562,2562227,+
85,AP011541.2,1,2378494,2385153,+
85,CP002183.1,1,2431654,2438321,+
85,AP012496.1,1,2406428,2413088,+
85,CP004405.1,1,2390634,2397295,+
85,CP010314.1,1,2554125,2560785,+
85,CP003783.1,1,2554137,2560797,+
85,CP003695.1,1,1619896,1626556,-
84,CP009796.1,1,2432574,2444146,+
84,CP007800.1,1,2525817,2537390,+
84,AL009126.3,1,2553051,2564624,+
84,CP002468.1,1,532190,543762,+
84,CP004019.1,1,2405913,2417483,+
84,CP002906.1,1,2401717,2413290,+
84,CP010052.1,1,2553062,2564635,+
84,CP010053.1,1,2552832,2564405,+
84,CP008698.1,1,2525817,2537390,+
84,CP007409.1,1,2406927,2418500,+
84,CP006881.1,1,2370917,2382490,+
84,CP003329.1,1,2553034,2564607,+
84,CP005997.1,1,2359208,2370771,+
84,CP002905.1,1,2533718,2545557,+
84,AP011541.2,1,2356914,2368485,+
84,CP002183.1,1,2409795,2421643,+
84,AP012496.1,1,2384846,2396419,+
84,CP004405.1,1,2369056,2380626,+
84,CP010314.1,1,2532543,2544116,+
84,CP003783.1,1,2532555,2544128,+
84,CP003695.1,1,1636564,1648139,-
83,CP009796.1,1,2386776,2397256,+
83,CP007800.1,1,2480024,2490500,+
83,AL009126.3,1,2507258,2517734,+
83,CP002468.1,1,486398,496873,+
83,CP004019.1,1,2360130,2370607,+
83,CP002906.1,1,2355957,2366438,+
83,CP010052.1,1,2507269,2517745,+
83,CP010053.1,1,2507039,2517515,+
83,CP008698.1,1,2480024,2490500,+
83,CP007409.1,1,2361137,2371611,+
83,CP006881.1,1,2325124,2335600,+
83,CP003329.1,1,2507241,2517717,+
83,CP005997.1,1,2313416,2323891,+
83,CP002905.1,1,2476239,2486686,+
83,AP011541.2,1,2309523,2320018,+
83,CP002183.1,1,2363889,2374375,+
83,AP012496.1,1,2339053,2349529,+
83,CP004405.1,1,2323273,2333750,+
83,CP010314.1,1,2486751,2497227,+
83,CP003783.1,1,2486762,2497238,+
83,CP003695.1,1,1683460,1693941,-
82,CP009796.1,1,2345003,2356396,+
82,CP007800.1,1,2438254,2449645,+
82,AL009126.3,1,2465486,2476877,+
82,CP002468.1,1,444636,456026,+
82,CP004019.1,1,2318388,2329761,+
82,CP002906.1,1,2314183,2325574,+
82,CP010052.1,1,2465499,2476890,+
82,CP010053.1,1,2465269,2476660,+
82,CP008698.1,1,2438254,2449645,+
82,CP007409.1,1,2319368,2330758,+
82,CP006881.1,1,2283354,2294745,+
82,CP003329.1,1,2465469,2476860,+
82,CP005997.1,1,2271645,2283041,+
82,CP002905.1,1,2434467,2445825,+
82,AP011541.2,1,2266221,2277565,+
82,CP002183.1,1,2320872,2332235,+
82,AP012496.1,1,2297283,2308674,+
82,CP004405.1,1,2281531,2292904,+
82,CP010314.1,1,2444981,2456372,+
82,CP003783.1,1,2444992,2456383,+
82,CP003695.1,1,1724325,1735705,-
81,CP009796.1,1,2290867,2297278,+
81,CP007800.1,1,2423872,2430283,+
81,AL009126.3,1,2451104,2457515,+
81,CP002468.1,1,430257,436668,+
81,CP004019.1,1,2304008,2310419,+
81,CP002906.1,1,2299800,2306213,+
81,CP010052.1,1,2451117,2457528,+
81,CP010053.1,1,2450887,2457298,+
81,CP008698.1,1,2423872,2430283,+
81,CP007409.1,1,2304990,2311400,+
81,CP006881.1,1,2268972,2275383,+
81,CP003329.1,1,2451087,2457498,+
81,CP005997.1,1,2257265,2263677,+
81,CP002905.1,1,2416644,2423061,+
81,AP011541.2,1,2251844,2258252,+
81,CP002183.1,1,2301760,2308161,+
81,AP012496.1,1,2282901,2289312,+
81,CP004405.1,1,2267151,2273562,+
81,CP010314.1,1,2430599,2437010,+
81,CP003783.1,1,2430610,2437021,+
81,CP003695.1,1,1743676,1750086,-
80,CP009796.1,1,2275401,2289238,+
80,CP007800.1,1,2408417,2422243,+
80,AL009126.3,1,2435649,2449475,+
80,CP002468.1,1,414797,428628,+
80,CP004019.1,1,2288550,2302380,+
80,CP002906.1,1,2284342,2298172,+
80,CP010052.1,1,2435662,2449488,+
80,CP010053.1,1,2435432,2449258,+
80,CP008698.1,1,2408417,2422243,+
80,CP007409.1,1,2289529,2303360,+
80,CP006881.1,1,2253517,2267343,+
80,CP003329.1,1,2435632,2449458,+
80,CP005997.1,1,2241807,2255636,+
80,CP002905.1,1,2401177,2415015,+
80,AP011541.2,1,2236394,2250215,+
80,CP002183.1,1,2286292,2300138,+
80,AP012496.1,1,2267446,2281272,+
80,CP004405.1,1,2251693,2265523,+
80,CP010314.1,1,2415144,2428970,+
80,CP003783.1,1,2415155,2428981,+
80,CP003695.1,1,1751713,1765547,-
79,CP009796.1,1,2268007,2273469,+
79,CP007800.1,1,2400855,2406327,+
79,AL009126.3,1,2428087,2433559,+
79,CP002468.1,1,405139,410592,+
79,CP004019.1,1,2282300,2287768,+
