block,species,chr,chr_beg,chr_end,orientation
911,CP009749.1,1,3787420,3791082,+
911,CP009611.1,1,3808103,3811765,+
910,CP009749.1,1,3784456,3787357,+
910,CP009611.1,1,3801385,3804286,+
910,CP009748.1,1,3702704,3705601,+
909,CP009749.1,1,3779023,3784454,+
909,CP009611.1,1,3795953,3801383,+
908,CP009749.1,1,3771283,3774566,+
908,CP009611.1,1,3785274,3788725,+
907,CP009749.1,1,3748838,3766890,+
907,CP009611.1,1,3763454,3780879,+
906,CP009749.1,1,3739216,3741015,+
906,CP009611.1,1,3753835,3755643,+
905,CP009749.1,1,3732985,3738892,+
905,CP009611.1,1,3747604,3753511,+
904,CP009749.1,1,3719726,3732854,+
904,CP009611.1,1,3734343,3747473,+
903,CP009749.1,1,3714496,3716935,+
903,CP009611.1,1,3729113,3731547,+
902,CP009749.1,1,3712975,3714462,+
902,CP009611.1,1,3727591,3729079,+
902,CP009748.1,1,3699686,3701177,+
901,CP009749.1,1,3706597,3710250,+
901,CP009611.1,1,3723187,3726837,+
901,CP009748.1,1,3695157,3698825,+
900,CP009749.1,1,3704338,3706422,+
900,CP009611.1,1,3720929,3723012,+
900,CP009748.1,1,3692926,3695012,+
899,CP009749.1,1,3698516,3700942,+
899,CP009611.1,1,3716960,3719386,+
899,CP009748.1,1,3687063,3689515,+
898,CP009749.1,1,3682197,3684193,+
898,CP009611.1,1,3700641,3702637,+
898,CP009748.1,1,3668388,3670400,+
897,CP009749.1,1,3679694,3682029,+
897,CP009611.1,1,3698138,3700473,+
897,CP009748.1,1,3662903,3665245,+
896,CP009749.1,1,3672622,3678039,+
896,CP009611.1,1,3691064,3696482,+
896,CP009748.1,1,3655822,3661239,+
895,CP009749.1,1,3667560,3671148,+
895,CP009611.1,1,3686003,3689590,+
895,CP009748.1,1,3652173,3655758,+
894,CP009749.1,1,3656102,3657361,+
894,CP009611.1,1,3674539,3675798,+
894,CP009748.1,1,3640709,3641968,+
893,CP009749.1,1,3637902,3651097,+
893,CP009611.1,1,3660461,3673674,+
893,CP009748.1,1,3626640,3639835,+
892,CP009749.1,1,3615276,3621356,+
892,CP009611.1,1,3637833,3643914,+
892,CP009748.1,1,3604004,3610082,+
891,CP009749.1,1,3609850,3612712,+
891,CP009611.1,1,3632410,3635269,+
890,CP009749.1,1,3608549,3609849,+
890,CP009611.1,1,3631109,3632409,+
890,CP009748.1,1,3600014,3601304,+
889,CP009749.1,1,3585844,3591696,+
889,CP009611.1,1,3608403,3614255,+
889,CP009748.1,1,3579424,3585276,+
888,CP009749.1,1,3537807,3542925,+
888,CP009611.1,1,3560366,3565484,+
888,CP009748.1,1,3531393,3536508,+
887,CP009749.1,1,3522293,3536368,+
887,CP009611.1,1,3544885,3558967,+
887,CP009748.1,1,3515794,3530705,+
886,CP009749.1,1,3512993,3520596,+
886,CP009611.1,1,3535586,3543188,+
886,CP009748.1,1,3506507,3514096,+
885,CP009749.1,1,3471280,3495452,+
885,CP009611.1,1,3496319,3520454,+
885,CP009748.1,1,3464991,3489109,+
884,CP009749.1,1,3451132,3470757,+
884,CP009611.1,1,3476173,3495796,+
884,CP009748.1,1,3444870,3464472,+
883,CP009749.1,1,3423680,3437119,+
883,CP009611.1,1,3448734,3462161,+
883,CP009748.1,1,3416817,3430311,+
882,CP009749.1,1,3413946,3418709,+
882,CP009611.1,1,3438988,3443751,+
882,CP009748.1,1,3407083,3411847,+
881,CP009749.1,1,3409846,3413434,+
881,CP009611.1,1,3434761,3438320,+
881,CP009748.1,1,3402873,3406415,+
880,CP009749.1,1,3404316,3407248,+
880,CP009611.1,1,3429231,3432163,+
880,CP009748.1,1,3397331,3400263,+
879,CP009749.1,1,3397438,3403214,+
879,CP009611.1,1,3422353,3428129,+
879,CP009748.1,1,3390451,3396227,+
878,CP009749.1,1,3392504,3397327,+
878,CP009611.1,1,3414857,3419678,+
878,CP009748.1,1,3384225,3389046,+
877,CP009749.1,1,3365163,3389893,+
877,CP009611.1,1,3387519,3412246,+
877,CP009748.1,1,3356896,3381623,+
876,CP009749.1,1,3356813,3362320,+
876,CP009611.1,1,3379163,3384660,+
876,CP009748.1,1,3348597,3354093,+
875,CP009749.1,1,3351849,3354472,+
875,CP009611.1,1,3374200,3376822,+
875,CP009748.1,1,3343652,3346256,+
874,CP009749.1,1,3344463,3348294,+
874,CP009611.1,1,3366814,3370645,+
874,CP009748.1,1,3335486,3339354,+
873,CP009749.1,1,3335720,3342171,+
873,CP009611.1,1,3359087,3364522,+
873,CP009748.1,1,3327788,3333184,+
872,CP009749.1,1,3332239,3334144,+
872,CP009611.1,1,3355264,3357169,+
872,CP009748.1,1,3324130,3326039,+
871,CP009749.1,1,3313553,3331200,+
871,CP009611.1,1,3336922,3354571,+
871,CP009748.1,1,3303455,3321106,+
870,CP009749.1,1,3300727,3312756,+
870,CP009611.1,1,3324098,3336126,+
870,CP009748.1,1,3290626,3302661,+
869,CP009749.1,1,3293948,3295125,+
869,CP009611.1,1,3317320,3318496,+
869,CP009748.1,1,3288562,3289738,+
868,CP009749.1,1,3289230,3293946,+
868,CP009611.1,1,3311311,3316037,+
868,CP009748.1,1,3284432,3288560,+
867,CP009749.1,1,3277593,3280078,+
867,CP009611.1,1,3299675,3302159,+
867,CP009748.1,1,3272795,3275281,+
866,CP009749.1,1,3265409,3272047,+
866,CP009611.1,1,3287491,3294129,+
866,CP009748.1,1,3260648,3267254,+
865,CP009749.1,1,3257334,3265408,+
865,CP009611.1,1,3270667,3278730,+
865,CP009611.1,1,3279438,3287490,+
865,CP009748.1,1,3252571,3260647,+
864,CP009749.1,1,3250262,3256746,+
864,CP009611.1,1,3263595,3270079,+
864,CP009748.1,1,3245496,3251983,+
863,CP009749.1,1,3236203,3245504,+
863,CP009611.1,1,3247779,3257083,+
863,CP009748.1,1,3231432,3240744,+
862,CP009749.1,1,3221461,3225638,+
862,CP009611.1,1,3229325,3233501,+
862,CP009748.1,1,3216725,3220902,+
861,CP009749.1,1,3166329,3172918,+
861,CP009611.1,1,3173189,3179781,+
861,CP009748.1,1,3160679,3167268,+
860,CP009749.1,1,3163342,3166327,+
860,CP009611.1,1,3170194,3173187,+
859,CP009749.1,1,3153515,3158928,+
859,CP009611.1,1,3160377,3165790,+
859,CP009748.1,1,3147694,3153107,+
858,CP009749.1,1,3138093,3141787,+
858,CP009611.1,1,3144959,3148651,+
858,CP009748.1,1,3132271,3135964,+
857,CP009749.1,1,3125849,3131416,+
857,CP009611.1,1,3129695,3135261,+
857,CP009748.1,1,3116995,3122574,+
856,CP009749.1,1,3116600,3123434,+
856,CP009611.1,1,3118377,3125211,+
856,CP009748.1,1,3107489,3114304,+
855,CP009749.1,1,3111849,3113190,+
855,CP009611.1,1,3113626,3114967,+
855,CP009748.1,1,3102740,3104078,+
854,CP009749.1,1,3097520,3099571,+
854,CP009611.1,1,3099296,3101347,+
854,CP009748.1,1,3050768,3052867,+
853,CP009749.1,1,3067363,3092946,+
853,CP009611.1,1,3069136,3094721,+
853,CP009748.1,1,3020628,3046196,+
852,CP009749.1,1,3047777,3061658,+
852,CP009611.1,1,3049544,3063431,+
852,CP009748.1,1,3001048,3014919,+
851,CP009749.1,1,3019156,3044678,+
851,CP009611.1,1,3020880,3046402,+
851,CP009748.1,1,2972431,2997929,+
850,CP009749.1,1,3014696,3016995,+
850,CP009611.1,1,3016425,3018724,+
850,CP009748.1,1,2967977,2970274,+
849,CP009749.1,1,2989602,3008173,+
849,CP009611.1,1,2991360,3009932,+
849,CP009748.1,1,2944796,2963366,+
848,CP009749.1,1,2986975,2988144,+
848,CP009611.1,1,2945290,2946603,+
848,CP009611.1,1,3125650,3126814,+
848,CP009748.1,1,2904954,2906268,+
847,CP009749.1,1,2985529,2986694,+
847,CP009611.1,1,2944085,2945148,+
846,CP009749.1,1,2980293,2985528,+
846,CP009611.1,1,2938901,2944084,+
846,CP009748.1,1,2899047,2904276,+
845,CP009749.1,1,2973143,2979532,+
845,CP009611.1,1,2931751,2938146,+
845,CP009748.1,1,2891898,2898286,+
844,CP009749.1,1,2943883,2965920,+
844,CP009611.1,1,2901154,2923185,+
844,CP009748.1,1,2862872,2884671,+
843,CP009749.1,1,2933095,2941318,+
843,CP009611.1,1,2890363,2898570,+
843,CP009748.1,1,2852977,2860307,+
842,CP009749.1,1,2924233,2928458,+
842,CP009611.1,1,2881502,2885726,+
842,CP009748.1,1,2847587,2851806,+
841,CP009749.1,1,2904178,2910935,+
841,CP009611.1,1,2861446,2868204,+
841,CP009748.1,1,2827521,2834298,+
840,CP009749.1,1,2889841,2898585,+
840,CP009611.1,1,2847106,2855852,+
840,CP009748.1,1,2813174,2821923,+
839,CP009749.1,1,2878011,2887860,+
839,CP009611.1,1,2835276,2845125,+
839,CP009748.1,1,2801370,2811193,+
838,CP009749.1,1,2858084,2865361,+
838,CP009611.1,1,2815218,2822628,+
838,CP009748.1,1,2781610,2788715,+
837,CP009749.1,1,2843006,2847908,+
837,CP009611.1,1,2798643,2803546,+
837,CP009748.1,1,2771507,2776411,+
836,CP009749.1,1,2833120,2834264,+
836,CP009611.1,1,2788757,2789901,+
836,CP009748.1,1,2761627,2762765,+
835,CP009749.1,1,2820369,2826901,+
835,CP009611.1,1,2776005,2782537,+
835,CP009748.1,1,2748867,2755401,+
834,CP009749.1,1,2810375,2813555,+
834,CP009611.1,1,2766011,2769191,+
834,CP009748.1,1,2738864,2742045,+
833,CP009749.1,1,2789861,2795755,+
833,CP009611.1,1,2749197,2755091,+
833,CP009748.1,1,2723277,2729168,+
832,CP009749.1,1,2756130,2775892,+
832,CP009611.1,1,2715465,2735229,+
832,CP009748.1,1,2689556,2709301,+
831,CP009749.1,1,2742149,2746747,+
831,CP009611.1,1,2701485,2706083,+
831,CP009748.1,1,2675566,2680191,+
830,CP009749.1,1,2719573,2729005,+
830,CP009611.1,1,2678908,2688341,+
830,CP009748.1,1,2652982,2662421,+
829,CP009749.1,1,2712692,2715932,+
829,CP009611.1,1,2672027,2675263,+
829,CP009748.1,1,2646101,2649341,+
828,CP009749.1,1,2667784,2677010,+
828,CP009611.1,1,2627068,2636293,+
828,CP009748.1,1,2601548,2610729,+
827,CP009749.1,1,2641404,2645414,+
827,CP009611.1,1,2600690,2604699,+
827,CP009748.1,1,2575154,2579166,+
826,CP009749.1,1,2631960,2640536,+
826,CP009611.1,1,2591245,2599822,+
826,CP009748.1,1,2565722,2574286,+
825,CP009749.1,1,2620825,2622880,+
825,CP009611.1,1,2580110,2582165,+
825,CP009748.1,1,2554589,2556643,+
824,CP009749.1,1,2614179,2618280,+
824,CP009611.1,1,2573464,2577565,+
824,CP009748.1,1,2547945,2552044,+
409,CP009796.1,1,3426181,3427350,+
409,CP007800.1,1,3542197,3543366,+
409,AL009126.3,1,3569430,3570599,+
409,CP002468.1,1,1582439,1583608,+
409,CP004019.1,1,3394455,3395624,+
409,CP002906.1,1,3363711,3364880,+
409,CP010052.1,1,3569442,3570611,+
409,CP010053.1,1,3569196,3570365,+
409,CP008698.1,1,3547468,3548637,+
409,CP007409.1,1,3380649,3381818,+
409,CP006881.1,1,3387284,3388453,+
409,CP003329.1,1,3569411,3570580,+
409,CP005997.1,1,3413936,3415105,+
409,CP009749.1,1,3354474,3355637,+
409,CP002905.1,1,3526484,3527652,+
409,AP011541.2,1,3433247,3434416,+
409,CP009611.1,1,3376824,3377987,+
409,CP002183.1,1,3354459,3355627,+
409,AP012496.1,1,3396957,3398126,+
409,CP004405.1,1,3357715,3358884,+
409,CP010314.1,1,3548925,3550094,+
409,CP003783.1,1,3500871,3502040,+
409,CP003695.1,1,655427,656596,-
409,CP009748.1,1,3346258,3347421,+
408,CP009796.1,1,3420213,3426179,+
408,CP007800.1,1,3536229,3542195,+
408,AL009126.3,1,3563462,3569428,+
408,CP002468.1,1,1576472,1582437,+
408,CP004019.1,1,3388488,3394453,+
408,CP002906.1,1,3357743,3363709,+
408,CP010052.1,1,3563474,3569440,+
408,CP010053.1,1,3563228,3569194,+
408,CP008698.1,1,3541500,3547466,+
408,CP007409.1,1,3374681,3380647,+
408,CP006881.1,1,3381316,3387282,+
408,CP003329.1,1,3563443,3569409,+
408,CP005997.1,1,3407968,3413934,+
408,CP002905.1,1,3520524,3526482,+
408,AP011541.2,1,3427288,3433245,+
408,CP002183.1,1,3348507,3354457,+
408,AP012496.1,1,3390989,3396955,+
408,CP004405.1,1,3351748,3357713,+
408,CP010314.1,1,3542957,3548923,+
408,CP003783.1,1,3494903,3500869,+
408,CP003695.1,1,656597,662564,-
407,CP009796.1,1,3403486,3415695,+
407,CP007800.1,1,3519514,3531711,+
407,AL009126.3,1,3546747,3558944,+
407,CP002468.1,1,1559746,1571954,+
407,CP004019.1,1,3371755,3383970,+
407,CP002906.1,1,3341034,3353224,+
407,CP010052.1,1,3546759,3558956,+
407,CP010053.1,1,3546513,3558710,+
407,CP008698.1,1,3524785,3536982,+
407,CP007409.1,1,3357955,3370163,+
407,CP006881.1,1,3364601,3376798,+
407,CP003329.1,1,3546728,3558925,+
407,CP005997.1,1,3391252,3403450,+
407,CP002905.1,1,3503763,3515987,+
407,AP011541.2,1,3410554,3422762,+
407,AP012496.1,1,3374274,3386471,+
407,CP004405.1,1,3335020,3347230,+
407,CP010314.1,1,3526241,3538439,+
407,CP003783.1,1,3478188,3490385,+
407,CP003695.1,1,667081,679303,-
406,CP009796.1,1,3399692,3400983,+
406,CP007800.1,1,3515720,3517011,+
406,AL009126.3,1,3542953,3544244,+
406,CP002468.1,1,1555953,1557244,+
406,CP010052.1,1,3542965,3544256,+
406,CP010053.1,1,3542719,3544010,+
406,CP008698.1,1,3520991,3522282,+
406,CP007409.1,1,3354162,3355453,+
406,CP006881.1,1,3360807,3362098,+
406,CP003329.1,1,3542933,3544224,+
406,CP005997.1,1,3387458,3388749,+
406,CP009749.1,1,508452,509743,-
406,CP009611.1,1,557735,559026,-
406,AP012496.1,1,3370480,3371771,+
406,CP010314.1,1,3522447,3523738,+
406,CP003783.1,1,3474394,3475685,+
406,CP003695.1,1,681806,683097,-
406,CP009748.1,1,492984,494275,-
405,CP009796.1,1,3394222,3399545,+
405,CP007800.1,1,3510251,3515573,+
405,AL009126.3,1,3537484,3542806,+
405,CP002468.1,1,1550484,1555806,+
405,CP004019.1,1,3359871,3365178,+
405,CP002906.1,1,3334816,3340120,+
405,CP010052.1,1,3537496,3542818,+
405,CP010053.1,1,3537250,3542572,+
405,CP008698.1,1,3515522,3520844,+
405,CP007409.1,1,3348694,3354015,+
405,CP006881.1,1,3355338,3360660,+
405,CP003329.1,1,3537464,3542786,+
405,CP005997.1,1,3381989,3387311,+
405,CP002905.1,1,3497526,3502848,+
405,AP011541.2,1,3367507,3372823,+
405,CP002183.1,1,3337616,3342924,+
405,AP012496.1,1,3365011,3370333,+
405,CP004405.1,1,3323137,3328443,+
405,CP010314.1,1,3516978,3522300,+
405,CP003783.1,1,3468925,3474247,+
405,CP003695.1,1,683244,688564,-
404,CP009796.1,1,3393122,3394221,+
404,CP007800.1,1,3509151,3510250,+
404,AL009126.3,1,3536384,3537483,+
404,CP002468.1,1,1549384,1550483,+
404,CP004019.1,1,3358771,3359870,+
404,CP002906.1,1,3333716,3334815,+
404,CP010052.1,1,3536396,3537495,+
404,CP010053.1,1,3536150,3537249,+
404,CP008698.1,1,3514422,3515521,+
404,CP007409.1,1,3347594,3348693,+
404,CP006881.1,1,3354238,3355337,+
404,CP003329.1,1,3536364,3537463,+
404,CP005997.1,1,3380889,3381988,+
404,CP009749.1,1,3911871,3912971,+
404,CP002905.1,1,3496440,3497470,+
404,AP011541.2,1,3366407,3367506,+
404,CP009611.1,1,3934064,3935164,+
404,CP002183.1,1,3336516,3337615,+
404,AP012496.1,1,3363911,3365010,+
404,CP004405.1,1,3322037,3323136,+
404,CP010314.1,1,3515878,3516977,+
404,CP003783.1,1,3467825,3468924,+
404,CP003695.1,1,688566,689665,-
404,CP009748.1,1,3836244,3837341,+
403,CP009796.1,1,3380128,3392242,+
403,CP007800.1,1,3496157,3508271,+
403,AL009126.3,1,3523390,3535504,+
403,CP002468.1,1,1536391,1548505,+
403,CP004019.1,1,3344950,3357050,+
403,CP002906.1,1,3320740,3332838,+
403,CP010052.1,1,3523402,3535516,+
403,CP010053.1,1,3523156,3535270,+
403,CP008698.1,1,3501428,3513542,+
403,CP007409.1,1,3334601,3346714,+
403,CP006881.1,1,3341244,3353358,+
403,CP003329.1,1,3523370,3535484,+
403,CP005997.1,1,3367895,3380009,+
403,CP002905.1,1,3482686,3494797,+
403,AP011541.2,1,3353413,3365527,+
403,CP002183.1,1,3323310,3335419,+
403,AP012496.1,1,3350922,3363031,+
403,CP004405.1,1,3308216,3320316,+
403,CP010314.1,1,3502884,3514998,+
403,CP003783.1,1,3454831,3466945,+
403,CP003695.1,1,690545,702657,-
402,CP009796.1,1,3371040,3373902,+
402,CP007800.1,1,3487069,3489932,+
402,AL009126.3,1,3514302,3517165,+
402,CP002468.1,1,1527303,1530166,+
402,CP004019.1,1,3335862,3338725,+
402,CP002906.1,1,3311652,3314515,+
402,CP010052.1,1,3514314,3517177,+
402,CP010053.1,1,3514068,3516931,+
402,CP008698.1,1,3492340,3495203,+
402,CP007409.1,1,3325513,3328376,+
402,CP006881.1,1,3332156,3335019,+
402,CP003329.1,1,3514282,3517145,+
402,CP005997.1,1,3358807,3361670,+
402,CP002905.1,1,3473594,3476460,+
402,AP011541.2,1,3344331,3347194,+
402,CP002183.1,1,3314212,3317080,+
402,AP012496.1,1,3346599,3349462,+
402,CP004405.1,1,3299128,3301991,+
402,CP010314.1,1,3493796,3496659,+
402,CP003783.1,1,3445743,3448606,+
402,CP003695.1,1,708883,711745,-
401,CP009796.1,1,3358253,3370357,+
401,CP007800.1,1,3474283,3486386,+
401,AL009126.3,1,3501516,3513619,+
401,CP002468.1,1,1514508,1526620,+
401,CP004019.1,1,3323072,3335179,+
401,CP002906.1,1,3298862,3310969,+
401,CP010052.1,1,3501528,3513631,+
401,CP010053.1,1,3501282,3513385,+
401,CP008698.1,1,3479554,3491657,+
401,CP007409.1,1,3312728,3324830,+
401,CP006881.1,1,3319370,3331473,+
401,CP003329.1,1,3501496,3513599,+
401,CP005997.1,1,3346020,3358124,+
401,CP002905.1,1,3460814,3472911,+
401,AP011541.2,1,3331545,3343648,+
401,CP002183.1,1,3301444,3313540,+
401,AP012496.1,1,3333813,3345916,+
401,CP004405.1,1,3286338,3298445,+
401,CP010314.1,1,3481010,3493113,+
401,CP003783.1,1,3432957,3445060,+
401,CP003695.1,1,712428,724537,-
400,CP009796.1,1,3354607,3358050,+
400,CP007800.1,1,3468677,3472120,+
400,AL009126.3,1,3495910,3499353,+
400,CP002468.1,1,1508936,1512379,+
400,CP004019.1,1,3317476,3320919,+
400,CP002906.1,1,3293251,3296694,+
400,CP010052.1,1,3495922,3499365,+
400,CP010053.1,1,3495676,3499119,+
400,CP008698.1,1,3473948,3477391,+
400,CP007409.1,1,3307122,3310565,+
400,CP006881.1,1,3313764,3317207,+
400,CP003329.1,1,3495890,3499333,+
400,CP005997.1,1,3340414,3343857,+
400,CP002905.1,1,3455207,3458648,+
400,AP011541.2,1,3323625,3327068,+
400,CP002183.1,1,3295838,3299278,+
400,AP012496.1,1,3328207,3331650,+
400,CP004405.1,1,3280742,3284185,+
400,CP010314.1,1,3475404,3478847,+
400,CP003783.1,1,3427351,3430794,+
400,CP003695.1,1,726702,730145,-
399,CP009796.1,1,3351115,3353502,+
399,CP007800.1,1,3465184,3467571,+
399,AL009126.3,1,3492417,3494804,+
399,CP002468.1,1,1505443,1507830,+
399,CP004019.1,1,3313982,3316370,+
399,CP002906.1,1,3289759,3292145,+
399,CP010052.1,1,3492429,3494816,+
399,CP010053.1,1,3492183,3494570,+
399,CP008698.1,1,3470455,3472842,+
399,CP007409.1,1,3303629,3306016,+
399,CP006881.1,1,3310271,3312658,+
399,CP003329.1,1,3492397,3494784,+
399,CP005997.1,1,3336921,3339308,+
399,CP002905.1,1,3450667,3453038,+
399,AP011541.2,1,3320132,3322519,+
399,CP002183.1,1,3291283,3293669,+
399,AP012496.1,1,3324714,3327101,+
399,CP004405.1,1,3277248,3279636,+
399,CP010314.1,1,3471911,3474298,+
399,CP003783.1,1,3423858,3426245,+
399,CP003695.1,1,731250,733638,-
398,CP009796.1,1,3348298,3351113,+
398,CP007800.1,1,3462366,3465182,+
398,AL009126.3,1,3489599,3492415,+
398,CP002468.1,1,1502625,1505441,+
